permitnumber,permittype,permitdescription,typeofwork,approvedscopeofwork,status,commercialorresidential,address,zip,council_district,contractorname,contractoraddress1,contractorcity,contractorstate,contractorzip,opa_owner,permitissuedate,matched_trades
ZP-2026-009117,Zoning,Zoning Permit,Change of Use,Personal Services,Issued,Commercial,1123 RACE ST,19107-1723,1,Meng Xi Zheng,"Meng Xi Zheng
528 FEDERAL ST
PHILADELPHIA, PA  19147
USA",,,,"WANG JAMES, WANG EUGENE",2026-09-11T14:32:25Z,commercial_fitout
ZP-2026-009110,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,3330 W HAROLD ST,19132-2826,4,Integrated Design Solution Group,"Integrated Design Solution Group
215 Glen Gary Drive
Havertown , PA  19083
USA",,,,STRONG RAHEEM SABIR,2026-09-11T13:25:58Z,commercial_fitout
CP-2026-004669,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ALTERATIONS TO AN EXISTING STRUCTURE. ALTERATIONS TO INCLUDE PARTIAL DEMOLITION AND THE ERECTION OF PARTITION WALLS, INSTALL KITCHEN EQUIPMENT, AND PROVIDE FINISHES/FURNISHINGS AND ACCESSIBILITY IMPROVEMENTS THROUGHOUT.  FOR USE AS PREVIOUSLY APPROVED. ALL WORK TO BE DONE PER APPROVED PLANS. 
***************** SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK. ****************************************** ",Issued,Commercial,180 W DUNCANNON AVE,19120-3410,8,WCD CONSTRUCTION,"WCD CONSTRUCTION
4506 Bleigh Ave
Philadelphia, PA  19136
USA",,,,EL REALTY LLC,2026-09-11T04:00:00Z,demolition;kitchen_bath;commercial_fitout
CP-2026-004516,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II INTERIOR ALTERATIONS TO AN EXISTING STRUCTURE TO INCLUDE PARTIAL DEMOLITION AND THE ERECTION OF PARTITION WALLS, 
PROVIDE FINISHES/FURNISHINGS AND ACCESSIBILITY IMPROVEMENTS THROUGHOUT. FOR CHANGE IN USE AND OCCUPANCY CLASSIFICATION TO MEDICAL, DENTAL, AND HEALTH PRACTITIONER- GROUP MEDICAL, DENTAL, AND HEALTH PRACTITIONER WITHIN UNIT ""C "" AT THE 2ND FLOOR. EXISTING BUILDING IS FULLY SPRINKLERED. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2018 IEBC. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, AND FIRE SUPPRESSION WORK. SEE ZP-2026-000979 FOR ASSOCIATED ZONING APPROVAL OF USE CHANGE.",Issued,Commercial,1122 FRANKFORD AVE,19125-4118,1,BLACKSTONE BUILDING GROUP,"BLACKSTONE BUILDING GROUP
",,,,1120-36 FRANKFORD DRIS LP,2026-09-11T04:00:00Z,demolition;commercial_fitout
CP-2026-002694,Building,Commercial Building Permit,Addition and/or Alteration,FOR THE REPLACEMENT OF SIX(6) GAS FUELING STATION.** ALL WORK TO BE DONE PER APPROVED PLANS.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2018**EXISTING BUILDING FULLY SPRINKLERED** SEPARATE PERMITS REQUIRED FOR ALL OTHER WORK**,Issued,Commercial,701 FRANKLIN MILLS CIR,19154-3125,10,FERGUSON & MCCANN INC,"FERGUSON & MCCANN INC
270 BODLEY ROAD
ASTON, PA  19014
USA",,,,SAMS EAST INC,2026-09-11T04:00:00Z,commercial_fitout
CP-2026-004850,Building,Commercial Building Permit,Addition and/or Alteration,FOR THE PARTIAL DEMOLITION OF ONE STORY PORTION OF AN EXISTING BUILDING PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK. ,Issued,Commercial,1303-09 BUTTONWOOD ST,19123-3609,1,Ricco Construction Corp,"Ricco Construction Corp
282 CREEK ROAD
BELLMAWR, NJ  08031
USA",,,,1303 BUTTONWOOD LLC,2026-09-11T04:00:00Z,demolition;commercial_fitout
CP-2026-003517,Building,Commercial Building Permit,Addition and/or Alteration,"LEVEL II INTERIOR ALTERATIONS (NO CHANGE OF OCCUPANCY) FOR RENOVATIONS TO EXISTING RESTAURANT ON THE GROUND FLOOR OF AN EXISTING TWO-STORY BUILDING AS PER APPROVED PLANS. EXISTING BUILDING NOT REQUIRED TO BE SPRINKLERED. *2018 IEBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR ANY MEP WORK**",Issued,Commercial,6438 RISING SUN AVE,19111-5242,9,properties creations inc,"properties creations inc
1142 HELLERMAN STREET
PHILADELPHIA, PA  19111
USA",,,,"OH RICHARD SAEYOUNG, OH YOUNGRAN",2026-09-11T04:00:00Z,commercial_fitout
CP-2026-003714,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ALTERATIONS TO INCLUDE STRUCTURAL WORK, NEW EXTERIOR WALL OPENINGS, NEW WINDOWS IN EXISTING OPENINGS, ACCESSIBLE TOILET ROOM UPGRADE, NEW PARTITIONS, FIXTURES, FURNIHSING, FINISHES AS PER APPROVED PLANS AND FOR THE ESTABLISHMENT OF UNITY OF USE BETWEEN 1627 & 1629 S 10TH ST FOR USE AS COMMISSARIES AND CATERING WITH TAKE OUT RESTAURANT AND TWO-DWELLING UNITS ABOVE. SEPARATE PERMITS REQUIRED FOR MEP WORK. *2021 IEBC* ",Issued,Commercial,1627 S 10TH ST,19148-1132,1,CARMINE VARALLO GENERAL CONTRACTING,"CARMINE VARALLO GENERAL CONTRACTING
1028 GREENWICH ST
PHILADELPHIA, PA  19147
USA",,,,ESPOSITO JULES,2026-09-11T04:00:00Z,commercial_fitout
CP-2026-005374,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ALTERATIONS TO AN EXISTING STRUCTURE. ALTERATIONS TO INCLUDE THE ERECTION OF PARTITION WALLS, PROVIDE FINISHES/FURNISHINGS AND ACCESSIBILITY IMPROVEMENTS THROUGHOUT.  FOR USE AS PREVIOUSLY APPROVED. ALL WORK TO BE DONE PER APPROVED PLANS AND DOCUMENTATION. 
***************** SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK. ****************************************** ",Issued,Commercial,2401 WASHINGTON AVE,19146-2437,2,POPLAR CONSTRUCTION LLC,"POPLAR CONSTRUCTION LLC
725 Johns Lane
Ambler, PA  19002
USA",,,,FITLER ESTATES LLC,2026-09-11T04:00:00Z,commercial_fitout
CP-2026-003667,Building,Commercial Building Permit,Commercial Make Safe Permit,"MAKE SAFE PERMIT TO RESOLVE CASE VIOLATION # CF-2026-025859 TO REPAIR DAMAGE CAUSED BY FIRE AS PER THE ENGINEER'S REPORT AND APPROVED ENGINEER PLANS. A SEPARATE PERMIT IS REQUIRED FOR ANY ADDITIONAL ALTERATIONS THAT ARE NOT SPECIFICALLY ADDRESSED ON CASE #CF-2026-025859. “IN ACCORDANCE WITH CODE BULLETIN PM-1801, A PA PROFESSIONAL ENGINEER IS REQUIRED TO MONITOR REPAIRS MADE UNDER THIS PERMIT. THE ENGINEER MUST SUBMIT A SEALED STATEMENT TO THE DEPARTMENT CONFIRMING THAT THE STRUCTURE IS IN SOUND CONDITION AT COMPLETION.”",Issued,Commercial,4721-41 OXFORD AVE,19124-5818,7,Gambrel Estates,"Gambrel Estates
5003 Roosevelt 
philadelphia, PA  19124
USA",,,,NANA'S DAYCARE LLC,2026-09-11T04:00:00Z,commercial_fitout
CP-2026-003153,Building,Commercial Building Permit,Addition and/or Alteration,FOR A FACADE RESTORATION PER PLANS. **WORK TO BE COMPLETED PER APPROVED PLANS**.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2018**,Issued,Commercial,511-19 N BROAD ST,19123-3209,1,WATTS RESTORATION CO INC,"WATTS RESTORATION CO INC
1704 Bustleton Pike
Feasterville, PA  19053
USA",,,,,2026-09-11T04:00:00Z,commercial_fitout
